run;timeframe;submitted;confirmed;pending
0;76031329685;100;67;33
1;73458597395;100;67;33
2;74110335698;100;100;0
3;76181856229;126;40;86
4;76758631874;132;89;43
5;78088981484;128;115;13
6;77309175287;122;87;35
7;80873863597;130;20;110
8;75938366220;127;7;120
9;76522452816;131;20;111
10;78229184263;120;0;120
11;78823229184;128;24;104
12;80954580069;126;1;125
13;76881546477;127;83;44
14;76350935172;120;20;100
15;79649536203;112;20;92
16;76554225849;120;20;100
17;78539223511;116;60;56
18;78835113030;122;0;122
19;81719928190;121;40;81

