run;timeframe;submitted;confirmed;pending
0;74885200473;107;107;0
0;77090479909;120;120;0
1;76882046280;122;88;34
2;76570553927;122;114;8
3;76203987576;118;85;33
4;76610215861;123;123;0
5;75380247759;113;113;0
6;82600576321;126;85;41
7;77159485648;123;123;0
8;76911279712;117;106;11
9;76380079360;124;86;38
10;76384268722;122;122;0
11;76560854617;118;118;0
12;78115281331;122;122;0
13;76370692209;124;62;62
14;77168728436;119;119;0
15;87405715682;126;19;107
16;75966653865;109;49;60
0;76118481996;119;119;0
1;76630678969;120;117;3