run;timeframe;submitted;confirmed;pending
0;78022788899;120;118;2
1;77864871978;124;53;71
2;75330800776;118;118;0
3;76800579160;123;118;5
4;77693249363;120;120;0
5;79948985537;125;110;15
6;80083889468;119;119;0
7;77092259012;118;62;56
8;77725926433;121;121;0
9;77273557076;127;48;79
10;78237805034;116;65;51
11;76208767962;122;115;7
12;76877494174;117;104;13
13;84596290758;133;43;90
14;78448854786;122;122;0
15;78129324380;117;117;0
16;77958978502;113;87;26
17;77202564701;119;51;68
18;79383424513;126;97;29
19;75954748631;120;120;0
