run;deposit;withdraw
0;29116284704;76273868657
1;65996671668;71310588529
2;50952962460;69061687084
3;21374647574;66967841813
4;45142997412;64862049549
5;47407029520;77562855401
6;34589953468;75281576443
7;36791603099;73441017457
8;39013210577;70895098634
9;41673822625;68255945039
10;43636068043;66364223688
11;46168800912;78788785810
12;33982210635;75990975271
13;36682414094;73422128980
14;39250812662;70646976350
15;42190424075;67780597377
16;44612640085;65379063528
17;62063554364;68038006866
18;44946131643;65068759316
19;46783879280;78105168395